time  position velocity 
2.996 1.09962577853 0.502412409749
3.017 1.11002737868 0.502308965397
3.037 1.11985412727 0.502208117593
3.057 1.13010603804 0.502109902247
3.077 1.14016584717 0.502014346274
3.096 1.15043231874 0.50192146823
3.117 1.16038650253 0.501831278918
3.137 1.17034602009 0.501743781965
3.157 1.1804653026 0.501658974369
3.176 1.19031479161 0.501576847024
3.197 1.20051407327 0.50147055682
3.216 1.21055331937 0.50136679979
3.237 1.22002911455 0.501296973181
3.257 1.23012303164 0.501202688366
3.277 1.24038858843 0.501110633262
3.297 1.25046832085 0.501025378209
3.317 1.26054742504 0.500942065703
3.337 1.27063017426 0.500892098576
3.357 1.28073569692 0.500843911736
3.377 1.290548305 0.500797480409
3.397 1.30060700442 0.500752777611
3.417 1.31054741442 0.500709774378
3.437 1.32064029379 0.500641615404
3.457 1.33078455984 0.500574972463
3.477 1.34077072683 0.50054124604
3.497 1.3509059004 0.500508864782
3.517 1.36092636674 0.500477800477
3.537 1.37061295577 0.500448024
3.557 1.38098775075 0.500419505457
3.577 1.3907392949 0.50039221431
3.597 1.40092242295 0.500366119501
3.617 1.41039777584 0.500341189569
3.636 1.42065012805 0.500317392748
3.657 1.43099776202 0.500294697073
3.677 1.44054405668 0.500273070467
3.697 1.45062379805 0.500252480825
3.717 1.46096825351 0.500232896093
3.737 1.47080014212 0.500214284342
3.756 1.48086162119 0.500196613827
3.777 1.49085344741 0.500179853055
3.797 1.50102744095 0.500163970834
3.818 1.51103648267 0.500148936325
3.836 1.52067850165 0.500134719089
3.857 1.53024661097 0.500121289126
3.877 1.54072578695 0.500108616911
3.897 1.55070340395 0.500096673428
3.917 1.56068033655 0.500085430197
3.936 1.57049760778 0.500074859302
3.957 1.58051252027 0.500064933411
3.977 1.59048031492 0.500055625798
3.997 1.60046618943 0.500046910353
4.016 1.61063694833 0.500038761601
4.037 1.62063789089 0.500031154712
4.057 1.63021626422 0.500024065507
4.077 1.64060120016 0.500017470466
4.097 1.65042696791 0.500011346732
4.117 1.66047647644 0.500005672114
4.137 1.67069527277 0.500000425087
4.157 1.68044676522 0.49999558479
4.177 1.69061586488 0.499991131025
4.197 1.70034519721 0.499987044252
4.217 1.71060450745 0.499983305585
4.237 1.72011403989 0.499979896785
4.257 1.73035481983 0.499949985618
4.277 1.74046390157 0.499920229276
4.297 1.75093284024 0.499922075385
4.317 1.76101222525 0.499923961694
4.337 1.77057805215 0.499925880631
4.357 1.78032824496 0.499927825139
4.377 1.79061901171 0.499929788649
4.397 1.80056287652 0.499931765055
4.417 1.81043309717 0.499933748698
4.437 1.82033306634 0.49993573434
4.456 1.83047485305 0.499937717147
4.476 1.84022797383 0.499939692664
4.496 1.85021722147 0.499941656804
4.517 1.86049068834 0.49994360582
4.537 1.8701926302 0.499945536295
4.557 1.8805678783 0.49994744512
4.577 1.89080300058 0.499949329477
4.597 1.9006248096 0.499951186828
4.617 1.91062905309 0.499953014893
4.637 1.92028666176 0.49995481164
4.657 1.93019647454 0.499956575268
4.677 1.94008756232 0.499958304194
4.696 1.95016311191 0.499959997039
4.717 1.96065383966 0.499961652619
4.737 1.9704311519 0.499963269925
4.757 1.98078324762 0.499964848122
4.777 1.99060105049 0.499966386528
4.797 2.00058145364 0.49996788461
4.817 2.01093140079 0.49996934197
4.837 2.02049636112 0.499970758339
4.857 2.03052246262 0.499972133992
4.877 2.04096585459 0.499946657884
4.897 2.05056433145 0.499920991342
4.916 2.06072205793 0.499926611589
4.937 2.07045770618 0.499931968065
4.957 2.08066618421 0.499937068644
4.977 2.09037761872 0.49994192119
4.996 2.10060099686 0.499946533538
5.016 2.11096505212 0.499950913486
5.037 2.1206238529 0.499955068768
5.057 2.13073822134 0.499959007049
5.078 2.14059160824 0.499962735911
5.097 2.15063146821 0.499966262839
5.116 2.16065545636 0.499969595211
5.137 2.17036140862 0.499945932062
5.157 2.18058849703 0.499921935798
5.177 2.19095819363 0.499929095937
5.197 2.20064939643 0.49993586679
5.217 2.21020484495 0.49994226265
5.237 2.22030701315 0.499948297583
5.257 2.23068289163 0.499953985411
5.277 2.24036725555 0.499959339702
5.297 2.25019749975 0.499964373755
5.317 2.26030591912 0.49996910059
5.337 2.27032503946 0.499973532941
5.357 2.2803223182 0.499977683245
5.377 2.29025548193 0.499981563637
5.397 2.30022209861 0.499985185945
5.417 2.31027054926 0.499988561688
5.436 2.32046973699 0.49999170207
5.457 2.33051612169 0.499994617978
5.477 2.34066935209 0.499997319984
5.497 2.35075032107 0.49999981834
5.517 2.36072088706 0.500002122984
5.537 2.37062076915 0.500004243538
5.557 2.38057471053 0.500006189308
5.577 2.39058965678 0.50000796929
5.597 2.40080682783 0.500009592173
5.617 2.41116736818 0.500011066339
5.637 2.42095681062 0.50001239987
5.657 2.43100421071 0.500013600552
5.677 2.44075649327 0.500014675878
5.697 2.45073898064 0.500015633055
5.717 2.4608082014 0.500016479008
5.737 2.47074556182 0.500017220387
5.757 2.48065891801 0.50001786357
5.777 2.49034335655 0.500018414671
5.796 2.50060955677 0.500018879548
5.817 2.51070230448 0.500019263804
5.837 2.52052235067 0.5000195728
5.857 2.53063054097 0.500019811655
5.877 2.54079907333 0.500019985257
5.896 2.550934768 0.500020098266
5.917 2.5606902526 0.500020155126
5.937 2.57055737451 0.500020160066
5.957 2.58074846032 0.500020117108
5.976 2.59063376815 0.500020030076
5.997 2.60055304757 0.500019902599
6.017 2.61071275289 0.500019738121
6.037 2.62024081871 0.500019539905
6.057 2.63037591924 0.50001931104
6.077 2.64040948 0.500019054447
6.097 2.65029098044 0.500018772884
6.117 2.66088594141 0.500018468957
6.137 2.6708213318 0.500018145119
6.157 2.68055901961 0.500017803681
6.177 2.69047857896 0.500017446815
6.197 2.70084220768 0.500017076561
6.217 2.71122475368 0.500016694832
6.237 2.72086860234 0.500016303419
6.257 2.7305097262 0.500015903997
6.277 2.74079145554 0.500015498131
6.297 2.75033813327 0.500015087277
6.316 2.76052601164 0.500014672791
6.337 2.77095216978 0.500014255932
