base trajectory: x y theta time 
-0.0247997333303 1.97428458092 -0.968736162166 10.7 -0.313611017973 0.227377129511 -0.336295082456
-0.0249736453267 2.00469373836 -0.996704791781 10.8 -0.302332704586 0.196552528111 -0.333016826993
-0.0271502538421 2.04309709523 -1.0304178613 10.901 -0.326726291711 0.168923740529 -0.317953881763
-0.0283927753787 2.08078986416 -1.06617410526 11.0 -0.315753970938 0.167808636943 -0.345037097023
-0.0282165803459 2.11810543806 -1.10034199429 11.101 -0.313390648066 0.166427679203 -0.322693870181
-0.0289427513059 2.15524631901 -1.13696479325 11.2 -0.322277518672 0.146008530858 -0.350827262515
-0.0287649712783 2.18299493367 -1.16621336689 11.3 -0.300883934248 0.135401276649 -0.348403340294
-0.0294796420511 2.21626989314 -1.20230048851 11.4 -0.295339818467 0.107025349785 -0.342545055208
-0.0320406054387 2.24818060224 -1.24084052057 11.5 -0.293956528941 0.076374679206 -0.370672770909
-0.0359691976069 2.27706593455 -1.27851193151 11.6 -0.271770136806 0.0452204751007 -0.357707341512
-0.0368645193388 2.30044790327 -1.3109335179 11.7 -0.270635455366 0.0645658543961 -0.386345954168
-0.0389491515847 2.32781608213 -1.35189481935 11.8 -0.255195552658 0.0365837321126 -0.391074589321
-0.0429399737775 2.35319496556 -1.39180470254 11.9 -0.242605841934 0.00546769513899 -0.378336225237
-0.0478690008121 2.3761722379 -1.43421985096 12.0 -0.221552326983 -0.0143739840639 -0.406532060532
-0.0518265744189 2.39270750062 -1.46901330642 12.1 -0.200235055574 -0.0242668240485 -0.414780208043
-0.05845044771 2.41182711287 -1.51366778158 12.2 -0.182584043516 -0.0552431904438 -0.427558308556
-0.0647081604285 2.42890096189 -1.55662483424 12.3 -0.161299447684 -0.0541341332132 -0.406197139195
-0.0676599166309 2.44089565992 -1.58982632257 12.4 -0.140068786125 -0.0332654540846 -0.39415700095
-0.0689562215226 2.45578536759 -1.6306162215 12.501 -0.141790092708 -0.0132837033874 -0.387038503374
-0.069201431209 2.46895241144 -1.67021842476 12.6 -0.120147428512 -0.0127606588845 -0.374561264401
-0.0691560338388 2.47978903079 -1.71033779194 12.7 -0.0994127694963 -0.0119896999751 -0.383553050813
-0.0687421740543 2.49019921335 -1.75244411745 12.8 -0.0977783989466 -0.0125722525368 -0.402688980103
-0.0690324829325 2.49973742134 -1.79369974969 12.901 -0.0877219804174 -0.0215386497173 -0.392692429679
-0.0694072570514 2.50570335346 -1.82656660255 13.0 -0.0674659395185 -0.0211444661627 -0.39157413301
-0.0699503550682 2.51039861732 -1.85946133415 13.102 -0.048653574825 -0.0211655652051 -0.391988527207
-0.0700641935804 2.51593287168 -1.91059051929 13.209 -0.0381761662762 -0.0118017844102 -0.41135152181
-0.0700644565878 2.51858713781 -1.94712463822 13.3 -0.0270069546046 -0.0111910645385 -0.439751715887
-0.0703106838846 2.52096656726 -1.99498614506 13.4 -0.0177740812835 -0.0108050480159 -0.460522515433
-0.0704312100374 2.52123685739 -2.03220851954 13.501 0.00147740092532 -0.000135127534316 -0.438746951875
-0.0705937706039 2.51955643378 -2.08045816075 13.6 0.0218309466654 0.00964576825723 -0.470331736973
-0.0708062800003 2.5171028298 -2.12834544877 13.701 0.0206293752308 0.0102762647321 -0.450883592878
-0.0717733070479 2.51812162977 -2.1781388575 13.8 -0.00926042771255 -0.0200459034392 -0.480924333845
-0.0719757359547 2.52294810325 -2.22978470288 13.901 -0.0413883991172 -0.0307517976182 -0.494321187337
-0.0716728295905 2.52839736713 -2.2807440407 14.0 -0.0416918532276 -0.030696135533 -0.483887536185
-0.0717580692806 2.5345200633 -2.33259126259 14.101 -0.0427684346995 -0.0405445669543 -0.494843437558
